data_medicao;precipitacao_total_mensal(mm);temperatura_maxima_media_mensal(°c);temperatura_media_compensada_mensal(°c);temperatura_minima_media_mensal(°c);umidade_relativa_do_ar_media_mensal(%);cidade;estado;casos;pop;year;month
2012-03-01;196,4;28,248387;23,243226;19,435484;64,596774;belo_horizonte;MG;629.0;2513451.0;2012;3
2012-03-01;62,8;31,396774;24,754839;19,154839;62,33871;maringa;PR;70.0;403063.0;2012;3
2012-04-01;45,4;30,893333;25,922667;23,026667;76,7;rio_de_janeiro;RJ;60963.0;6498837.0;2012;4
2012-04-01;182,9;23,98;18,254;15,153333;82,033333;curitiba;PR;39.0;1893997.0;2012;4
2012-04-01;42,8;25,92;19,457333;15,34;87,175;barbacena;MG;3.0;135829.0;2012;4
2012-04-01;152,5;28,343333;22,46;18,22;73,758333;maringa;PR;106.0;403063.0;2012;4
2012-04-01;152,1;31,066667;27,296;24,35;81,3;fortaleza;CE;9044.0;2609716.0;2012;4
2012-04-01;66,5;29,68;22,542667;16,836667;70,833333;divinopolis;MG;31.0;232945.0;2012;4
2012-04-01;111,3;27,693333;22,84;19,103333;65,741667;belo_horizonte;MG;667.0;2513451.0;2012;4
2012-04-01;30,1;30,8;26,337333;23,406667;74,408333;vitoria;ES;361.0;359555.0;2012;4
2012-05-01;61,8;20,325806;15,196129;11,86129;85,645161;curitiba;PR;30.0;1893997.0;2012;5
2012-05-01;267,1;26,787097;22,932258;20,312903;81,201613;vitoria;ES;251.0;359555.0;2012;5
2012-05-01;17,5;25,86129;18,434839;12,590323;72,927419;divinopolis;MG;17.0;232945.0;2012;5
2012-05-01;105;21,841935;15,848387;11,651613;87,612903;barbacena;MG;0.0;135829.0;2012;5
2012-05-01;75,1;25,087097;19,49871;15,2;75,419355;maringa;PR;47.0;403063.0;2012;5
2012-05-01;128,8;28,258065;23,134839;19,835484;76,41129;rio_de_janeiro;RJ;43818.0;6498837.0;2012;5
2012-05-01;143;31,093548;27,169032;23,967742;78,459677;fortaleza;CE;18297.0;2609716.0;2012;5
2012-05-01;61,1;24,319355;19,553548;16,151613;67,782258;belo_horizonte;MG;357.0;2513451.0;2012;5
2012-06-01;92,8;27,836667;23,800667;21,133333;79,075;vitoria;ES;271.0;359555.0;2012;6
2012-06-01;17;25,726667;20,580667;16,87;64,7;belo_horizonte;MG;363.0;2513451.0;2012;6
2012-06-01;69,3;23,366667;16,792;12,56;86,6;barbacena;MG;1.0;135829.0;2012;6
2012-06-01;225,5;18,28;13,998;11,19;88,316667;curitiba;PR;14.0;1893997.0;2012;6
2012-06-01;71,1;28,3;23,602667;20,72;78,466667;rio_de_janeiro;RJ;15901.0;6498837.0;2012;6
2012-06-01;140,2;30,71;26,698;23,54;79,241667;fortaleza;CE;4769.0;2609716.0;2012;6
2012-06-01;293,4;23,506667;18,270667;14,473333;82,808333;maringa;PR;37.0;403063.0;2012;6
2012-07-01;0;25,348387;19,867097;15,348387;54,330645;belo_horizonte;MG;356.0;2513451.0;2012;7
2012-07-01;108,9;19,609677;13,627742;9,141935;80,975806;curitiba;PR;5.0;1893997.0;2012;7
2012-07-01;26,2;28,296774;22,948387;19,609677;73;rio_de_janeiro;RJ;4418.0;6498837.0;2012;7
2012-07-01;1,2;26,644;17,58;9,974194;62,741667;divinopolis;MG;13.0;232945.0;2012;7
2012-07-01;6,3;31,1;26,672903;23,174194;73,475806;fortaleza;CE;1323.0;2609716.0;2012;7
